av,title,Up主,收藏数,是否收费,播放量,投稿时间,发布时间,弹幕数,评论数,标签
54982935,2019魔仙招生统一考试 摸仙语 使用高考英语听力翻制,Namco丨空城,24431,0,691317,1560008208,2019/6/8 21:42,12034,1202,"高考,听力,英语听力,雨女无瓜,魔仙,巴啦啦小魔仙,剪辑,高考加油,配音,自制"
54694323,她是来自天堂的魔鬼！偷走了我的心！,-TS映画-,71147,0,683865,1559903501,2019/6/7 18:31,3406,1511,"AMV,综漫,前方高能,你的名字,国家队,来自天堂的魔鬼,视觉系"
55469488,男主以神级的实力碾压一切，大号开启后强的可怕！作画巅峰+经费爆炸！,古城kami,6888,0,683443,1560424730,2019/6/13 19:18,397,593,"剪辑,热血,综漫,多素材,二次元,动画,动漫推荐,补番推荐"
55531542,"大群:拥有1000重人格,患严重精神分裂,却被誉为变种人上帝！大群介绍",努力的Lorre,4264,0,674619,1560510403,2019/6/14 18:00,2602,1142,漫威
56159605,2019届清华大学美术学院动画毕业设计《水源》,Zane_今天画动画了吗,34331,0,673367,1561002357,2019/6/20 11:45,2445,1486,"毕业季,原创动画,学生作品,作画,清华大学美术学院,未来动漫,动画,毕业设计"
55590359,"小丑的不死之谜「酒神因子」,他对蝙蝠侠的情感竟然这样深…",努力的Lorre,5710,0,673170,1560597919,2019/6/15 12:00,2423,1221,"蝙蝠侠,DC"
56159672,《崩坏3》动画短片「天使重构」先行预告,崩坏3第一偶像爱酱,10356,0,672770,1561006872,2019/6/20 10:42,9871,6541,"崩坏3,布洛妮娅,手机游戏,天使重构,量子之海,miHoYo,米哈游"
55687019,2019届华南农业大学动画毕业设计《正义使者》,小森子魔力酱,61053,0,670446,1560680897,2019/6/15 20:00,3059,5263,"短片,原创,学生作品,剧情,毕业设计,网络暴力,动画短片,悬疑,现实主义,反讽"
54163985,前方高能！ 百部混剪 ！肝爆炸系列！,仙女巷七妹儿,39854,0,668430,1561016704,2019/5/31 19:30,747,2145,"MAD.AMV,多素材,踩点,高燃,视听盛宴,火影忍者,游戏人生,盾之勇者成名录,fate系列,鬼灭之刃"
53567787,前方高能！带上耳机 沉沦在这治愈的海洋 樱花盛宴 全程极度舒适 烟花盛宴 携手与共的你,中二患者睡衣,53293,0,662127,1558859869,2019/5/25 19:42,1606,888,"全勤挑战,MAD,AMV,治愈向,多素材,新人向,动漫,樱花,论BGM的重要性,MAD.AMV"
55346284,【火影人物志42】背负一切罪恶的男人，团藏 天下皆白，唯我独黑！,四季萌芽,11706,0,658783,1560347999,2019/6/12 17:30,3605,3797,"火影忍者,团藏,热血,火影,童年,火影忍者疾风传,动漫杂谈,盘点,动漫,四季萌芽"
54925322,联合国要求下架部分动漫游戏？博人传被周刊jump扫地出门！【ACG大事件】,小M呜喵王,13133,0,658018,1560966886,2019/6/8 13:34,4616,3914,"英雄联盟,fate,游戏人生,动漫杂谈,资讯,博人传"
53686768,2019年7月夏季新番介绍（49部完整版）,奋斗的生菜,33518,0,654254,1558872852,2019/5/26 20:14,10296,1787,"补番推荐,新番,推荐,后宫,新番介绍,新番相关,7月新番,七月新番,夏季新番"
54966827,【科普】3D动画怎么能比2D贵？我们究竟在争些什么？身为动漫萌新你可能需要知道的傲慢与偏见,Muc虚空之翼,26695,0,652539,1559994329,2019/6/8 19:45,4981,6122,"动漫杂谈,3D动画,科普,2D动画,国产动画"
54579244,【补番推荐】帅到你合不拢腿的小姐姐们，肯定有你不认识的/燃向混剪/2019高考加油,咕咕不鸽,32193,0,644477,1560014188,2019/6/5 7:24,2113,1138,"2019高考应援,补番推荐,剪辑,热血,多素材,舞动青春,一拳超人,进击的巨人,FATE,野良神,物语"
54095561,【梗百科101】指驴为兔？雨女无瓜是啥瓜？！来看看这个五月都有啥趣梗！,吃素的狮子,6422,0,644449,1559288321,2019/5/31 12:00,708,1669,"梗百科,吃素的狮子,明日方舟,权力的游戏,巴拉拉小魔仙,大侦探皮卡丘,王源,死亡搁浅,楚留香"
53809073,【巴啦啦小魔仙】摸仙等级全国统一考试，测试一下你的摸仙等级！,硬核电站,15028,0,638219,1559218985,2019/5/27 23:19,7971,827,"巴啦啦小魔仙,国产动画,游乐,自制,考试,摸仙,扎心摸仙,游ne娃子,占星魔仙,雨女无瓜"
55463688,救死扶伤一拳神医！倒放解说一拳超人竟如此好玩！,凉风Kaze,7884,0,633619,1560772813,2019/6/17 20:00,2098,1605,"动漫杂谈,一拳超人,热血,凉风Kaze,恶搞,搞笑"
55896341,前方高能！康康史上最强七月番？哪一部是你的菜,瓶子君152,27566,0,630331,1560844884,2019/6/18 16:01,2477,1420,"动漫杂谈,七月新番,新番,吐槽,搞笑,在地下城寻求邂逅是否搞错了什么,擅长捉弄的高木同学,全缉毒狂潮,动画,新番吐槽"
53496183,【名场面配音】游乐王子嘴瓢配音,每天都在涨粉的长喵,11517,0,630254,1558776427,2019/5/25 10:02,1771,865,"游乐王子,游乐,配音,同年,巴啦啦小魔仙,搞笑"
53549554,琦玉老师惊人输了！？这个能胜过光头的男人原来是他！,天真无邪老Ty,1603,0,622858,1558775685,2019/5/25 17:14,970,809,"Ty不是变态,一击男,漫画推荐,一拳超人,琦玉,热血,动漫杂谈,琦玉老师"
54372467,碧蓝航线二周年合作组曲,言力华,48508,0,619403,1559700662,2019/6/2 17:25,2847,4580,"碧蓝航线,手书,同人,合作"
53578883,骨傲天结婚了？他终于和比空气还强的对手展开巅峰对决！,雪和风,7423,0,618589,1558790928,2019/5/25 21:28,1369,1435,"动漫杂谈,新番相关,OVERLORD,搞笑,骨傲天,安兹乌尔恭"
53771606,【女生慎入】当你男朋友喝醉时向你撒娇……,叶瑾阿,36544,0,613754,1558945515,2019/5/27 16:20,3644,3066,"中配,日常,声控,恋爱,中文音声,女性向,撩妹,沙雕"
54979593,（一拳超人）饿狼篇完结！饿狼的结局是？ ONE原作解说11,黑T毒物丶,2656,0,613704,1559999092,2019/6/8 21:04,2092,1549,"饿狼,一拳超人第二季,埼玉老师,甜心假面"
55658105,【中字.迪士尼反派系列3】反派们的计划——铺垫篇,D2KMON_柠檬,37412,0,608904,1561447045,2019/6/15 15:47,3484,1030,"迪士尼,youtube,搬运,童年,迪士尼反派,PattyCake"
53507785,【全员沙雕向/有cp】那什么的明日方舟，要 素 极 多,-猫盒子-,32986,0,598370,1558759636,2019/5/25 12:47,2108,880,"明日方舟视频招募活动,手书,明日方舟,搞笑,恶搞,搞笑视频"
53884264,燃！超酷的！,wuhu动画人空间,40828,0,590447,1559043879,2019/5/28 19:44,335,884,"动画短片,手绘,画画"
56182668,B站十周年回顾，我眼中的B站十年！,泛式,20476,0,584092,1561017491,2019/6/20 15:58,12070,6233,"干杯十周年,泛式,杂谈,吐槽,bilibili,B站,回顾,哔哩哔哩,vlog,生活"
54546960,【明日方舟】拉普兰德来了哦（完整版},魔芋板栗,33848,0,576490,1559786629,2019/6/4 17:33,3129,1622,"明日方舟视频招募活动,手书,新人,拉普兰德,德克萨斯,来了哦,描改,明日方舟"
53660661,《一拳超人》第二季 33.好险！埼玉恶战人类天敌怪人王大蛇，竟用出3拳！！（燃到爆！）,光影笔墨,3263,0,570094,1558863243,2019/5/26 17:34,2177,1343,"一拳超人,一拳超人第二季,埼玉,笔墨,一击男,ONE,燃"
55316626,前方高能！让人百看不厌的万恶之源名场面！,那位滑稽,11685,0,566552,1560668085,2019/6/12 4:53,835,437,"沙雕时刻,前方高能,动漫杂谈,万恶之源,二次元,盘点排行,高能,多素材,补番推荐,搞笑"
55583283,男主天生残疾，却获得神秘力量！？比火影还要有趣的作品！？,中二少年晓凯,6412,0,562661,1560518388,2019/6/14 21:19,1980,1223,"童年回忆杀,动漫杂谈,火影忍者,火影忍者疾风传,童年,机侍八丸传,动漫,火影,热血,中二少年晓凯"
54650973,【动画毕设】《造人》，咳....一个普通毕设...请多指教,MZM幺幺,43450,0,562511,1559994877,2019/6/5 21:57,4265,2257,"原创动画,脑洞,创意,学生作品,MV"
54806855,中国多数穷二代青年的现实困境,阿幕降临,16234,0,561338,1560420387,2019/6/7 12:18,640,4240,"原创动画,教育,高考"
53972675,［前方高能/1080P/燃泪/宇智波鼬］“我愿化为黑夜之鸦，引鹰飞向黎明”,Ambition丶夜刀,22943,0,559049,1559888077,2019/5/29 19:12,1133,1246,"AMV,宇智波鼬,火影忍者,催泪向,高燃,佐助"
54696851,【爆肝手书】辉夜大小姐想要变得可爱！！哦卡哇伊括多！！,Arice_夜声,63079,0,551515,1559897945,2019/6/6 18:00,2678,1369,"手书,辉夜大小姐想让我告白,想要变得可爱,制作向,四宫辉夜,白银御行,书记,可爱,同人,爆肝"
56002198,【沙雕手书】罗德岛宝贝,-SHL-,33677,0,550450,1560911471,2019/6/19 6:05,1138,916,"沙雕,手书,明日方舟,罗德岛,阿米娅,爱杀宝贝,描改,awsl,恶搞"
55075247,【前方不高能！】手绘1000张！带你重温一拳超人埼玉和杰诺斯的经典一战！,上来先丢大,43224,0,549323,1560073337,2019/6/9 17:42,1296,2128,"一拳超人,杰诺斯,一击男,埼玉,全程高能,琦玉,热血,手书,绘画"
55918816,进击巨人，枭的帅气变身无缝链接，堪比大片！一次看个够！,半句誓言YAN,2513,0,541847,1560778150,2019/6/17 21:29,301,1048,"进击的巨人第三季,枭,巨人之力,热血,高燃,进击巨人"
53994703,【定格动画】炭烤魔方,小兔茉莉来了,4008,0,538393,1559147990,2019/5/30 0:39,166,665,"全勤挑战,原创动画,脑洞,定格动画,短片,原创,娱乐,美食,创作新秀奖,创意"
55948142,2019毕业设计动画短片《桃之妖妖》,北工大艺设动画系,32113,0,534689,1560811641,2019/6/18 6:47,3428,1559,"原创动画,毕设,学生作品,古风,二维动画,自制动画"
