出现时间,弹幕模式,字号,颜色,发送时间,弹幕池,发送者id,rowID,弹幕内容
00:01:17,1,25,16777215,Tue Jun 21 07:07:34 2016,0,997678d1,1980804399,赞
00:01:17,1,25,41194,Mon Aug 13 20:37:11 2018,0,fe1b5fa6,3681370243072000,前面说直球的，难不成你家直球就是“尼桑”？
00:01:17,4,25,15138834,Mon May 22 18:06:34 2017,0,2b661261,3391741963,指引我
00:01:17,5,25,16724940,Fri Sep 30 23:11:50 2016,0,29f3186a,2469849351,指引我
00:01:18,1,25,16777215,Sun Sep 24 16:53:22 2017,0,e5e4ec6d,3834452390,六道偏心
00:01:18,4,25,15138834,Mon May 22 18:06:35 2017,0,2b661261,3391743783,黑夜中不寂寞
00:01:19,5,25,16724991,Thu Sep 29 23:11:52 2016,0,29f3186a,2462103167,黑夜中不寂寞
00:01:21,4,25,15138834,Mon May 22 18:06:35 2017,0,2b661261,3391745237,穿越千年的哀愁
00:01:22,1,25,16777215,Thu Mar  9 21:09:02 2017,0,f4aa98fa,3083791576,黑绝！
00:01:22,1,25,16777215,Wed Jun 14 15:03:24 2017,0,d4e6e4f3,3457079376,真  穿越千年
00:01:22,5,25,16724991,Thu Sep 29 23:11:53 2016,0,29f3186a,2462104117,穿越千年的哀愁
00:01:23,1,25,0,Mon Mar 27 22:10:08 2017,0,433c4b56,3148461372,感谢红字
00:01:23,1,25,0,Sun Mar 19 02:02:58 2017,0,98380bde,3116618242,我就知道又有人来ky了，因修的，你自己麻利的滚，谢谢
00:01:23,1,25,0,Tue Jun 27 22:10:55 2017,0,846643d,3497834617,祖传出走
00:01:23,1,25,16707842,Sun Nov  5 13:41:16 2017,0,cdef380e,3943353588,红紫两位弹幕大佬再次比斗
00:01:24,1,25,16777215,Sat Jun  8 16:10:14 2019,0,88b438dc,17217218946269186,跟口袋妖怪里的雪童子一模一样
00:01:24,4,25,15138834,Mon May 22 18:06:36 2017,0,2b661261,3391747717,是你在尽头等我
00:01:25,1,25,16707842,Wed Jan 10 20:21:01 2018,0,2ab07331,4171152222,都是黑绝的锅
00:01:25,1,25,16777215,Fri Feb 15 16:38:39 2019,0,85c27699,12099384568709124,定情河，分手谷。。。
00:01:25,1,25,16777215,Sat Aug 27 15:03:00 2016,0,33ffec1b,2338038365,呜哇！！！好虐！！！(;´༎ຶД༎ຶ`) 
00:01:25,5,25,16724991,Thu Sep 29 23:11:53 2016,0,29f3186a,2462105137,是你在尽头等我
00:01:26,1,25,0,Sat Mar 11 14:02:28 2017,0,a8edc014,3089483838,因陀罗好帅嘞
00:01:26,1,25,15138834,Sat Jul 21 22:18:17 2018,0,d7565033,2642685276454916,粽子！
00:01:27,1,25,16711782,Fri Aug 19 00:12:57 2016,0,c3b129bb,2290193663,up写了修因 刷因修的出门右拐好么
00:01:27,1,25,16777215,Tue Jan  1 19:30:20 2019,0,2f479faf,10066353553670146,想锤死黑绝。。。
00:01:27,4,25,15138834,Mon May 22 18:06:36 2017,0,2b661261,3391749149,最美丽的感动
00:01:28,1,25,16777215,Sat Jul 23 14:02:13 2016,0,cd9f75e8,2132655727,修因飘过
00:01:28,5,25,15138834,Sat Nov  5 23:11:40 2016,0,5c858e6b,2635716031,拜托这里是修因！不是因修！
